param_id,k_range,ksd_range,m,a_range,b_range,g,z,t,n,s,add_space_range,l
k70ksd25kmin17kmax200l1680m250a1000b10g1z2000zsd1000zmin1500zmax2500t20n20000s33h37,70,25,250,1000,10,1,2000,20,20000,33,37,1680
k70ksd25kmin17kmax200l1680m250a1000b50g1z2000zsd1000zmin1500zmax2500t20n20000s33h0,70,25,250,1000,50,1,2000,20,20000,33,0,1680
k70ksd25kmin17kmax200l1680m250a1000b50g1z2000zsd1000zmin1500zmax2500t20n20000s33h17,70,25,250,1000,50,1,2000,20,20000,33,17,1680
k70ksd25kmin17kmax200l1680m250a1000b50g1z2000zsd1000zmin1500zmax2500t20n20000s33h37,70,25,250,1000,50,1,2000,20,20000,33,37,1680
k70ksd25kmin17kmax200l1680m250a1000b100g1z2000zsd1000zmin1500zmax2500t20n20000s33h0,70,25,250,1000,100,1,2000,20,20000,33,0,1680
k70ksd25kmin17kmax200l1680m250a1000b100g1z2000zsd1000zmin1500zmax2500t20n20000s33h17,70,25,250,1000,100,1,2000,20,20000,33,17,1680
k70ksd25kmin17kmax200l1680m250a1000b100g1z2000zsd1000zmin1500zmax2500t20n20000s33h37,70,25,250,1000,100,1,2000,20,20000,33,37,1680
k70ksd25kmin17kmax200l1680m250a1000b1000g1z2000zsd1000zmin1500zmax2500t20n20000s33h0,70,25,250,1000,1000,1,2000,20,20000,33,0,1680
k70ksd25kmin17kmax200l1680m250a1000b1000g1z2000zsd1000zmin1500zmax2500t20n20000s33h17,70,25,250,1000,1000,1,2000,20,20000,33,17,1680
k70ksd25kmin17kmax200l1680m250a1000b1000g1z2000zsd1000zmin1500zmax2500t20n20000s33h37,70,25,250,1000,1000,1,2000,20,20000,33,37,1680
